country,facility_id,act_a,admin1,admin2,adultscale_b,amoxicillin3_a,ampicillin2_a,ampicillin_a,artesunate_a,autoclave_a,autoclave_b,azithromycin_a,bcg_vac,benzathine_a,benzylpenicillin_a,calgluc_a,cefixime_a,ceftriaxone2_a,childscale_a,childscale_b,depo_a,dryheat_a,dryheat_b,faccomputer_b,facility_level,facmobile_b,folic_a,gentamycin2_a,gentamycin_a,has_autosyringe,has_dispsyringe,has_facility,has_fridge,has_gloves,has_icepacks,has_mcondoms,has_sharps,has_vaccarrier,has_weights,indmobile1_b,infantscale_a,infantscale_b,internet_b,ipw,irona_a,magsulf_a,measles_vac,methasone_a,metronidazole_a,misoprostol_a,nacl_a,nifedipine2_a,nonelectric_a,nonelectric_b,num_births,num_outpatient,ors_a,oxytocin_a,pentavalent_vac,phone_b,pneumococ_vac,polio_vac,publicprivate,radio_b,ruralurban,sphgmeter_a,sphgmeter_b,steamer_a,steamer_b,stethoscope_a,stethoscope_b,thermometer_a,thermometer_b,vaccine_store1,vaccine_store2,vitamina_a,zinctabs_a
Kenya-2012,13485,At least one observed (not expired),5,12,Yes (Observed),At least one observed (not expired),Never available,Not available today,Never available,No,,Not available today,Never available,At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),No,,At least one observed (not expired),No,,No,Health Post,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),No,1,,Yes,Yes (Not Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,3.0,Not available today,Never available,Never available,Never available,Not available today,Never available,At least one observed (not expired),Never available,No,,50 or less,0-500,At least one observed (not expired),At least one observed (all expired),Never available,No,Never available,Never available,Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,Never available,Not available today
Kenya-2012,13489,At least one observed (not expired),5,2,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Available but not observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,Not available today,At least one observed (all expired),No,,Not available today,No,,No,Health Center,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,4.313478,At least one observed (not expired),Never available,Available but not observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Not available today,Yes (Observed),Yes (Observed),50 or less,0-500,At least one observed (not expired),At least one observed (not expired),Available but not observed (not expired),No,Available but not observed (not expired),Available but not observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),Not available today
Kenya-2012,13535,At least one observed (not expired),5,12,Yes (Observed),At least one observed (not expired),Never available,Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Yes (Observed),Yes (Observed),Yes (Observed),Hospital,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),1.0,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,,50 or less,2001-3000,At least one observed (all expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (all expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13540,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Not available today,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),No,,At least one observed (not expired),No,,Yes (Observed),Hospital,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),3.0,Not available today,At least one observed (not expired),Available but not observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),Over 50,Over 3000,At least one observed (not expired),Not available today,Available but not observed (not expired),No,Available but not observed (not expired),Available but not observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13547,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Never available,Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,No,,At least one observed (not expired),No,,No,Health Post,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,1.3333334,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Not available today,Never available,At least one observed (not expired),Not available today,No,,50 or less,1001-2000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),Not available today
Kenya-2012,13562,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,No,,Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Not available today,Never available,No,,At least one observed (not expired),No,,No,Health Center,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,4.5,Not available today,Never available,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),50 or less,501-1000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),Not available today,Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13588,At least one observed (not expired),5,12,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),No,,At least one observed (not expired),No,,Yes (Observed),Hospital,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),3.0,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),No,,Over 50,2001-3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (all expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13589,At least one observed (not expired),5,2,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,Not available today,At least one observed (not expired),Never available,Never available,Never available,No,,Not available today,No,,No,Health Center,Yes (Observed),Not available today,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,8.626956,Not available today,Never available,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,No,,Over 50,501-1000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13600,At least one observed (not expired),5,12,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,Not available today,At least one observed (not expired),Never available,Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Health Center,No,At least one observed (not expired),Not available today,At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,No,,No,4.0,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Over 50,1001-2000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Not Observed),Yes (Observed),No,,Yes (Not Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),Not available today
Kenya-2012,13606,At least one observed (not expired),5,2,Yes (Observed),At least one observed (not expired),Not available today,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),No,,Not available today,No,,Yes (Observed),Health Center,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Not Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),4.313478,At least one observed (not expired),Never available,Not available today,Never available,Never available,Never available,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),50 or less,0-500,At least one observed (not expired),At least one observed (not expired),Not available today,No,Not available today,Not available today,Private,No,Rural,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,Not available today,At least one observed (not expired)
Kenya-2012,13607,At least one observed (not expired),5,2,Yes (Observed),Not available today,Never available,Never available,Never available,No,,Never available,At least one observed (not expired),Not available today,At least one observed (not expired),Never available,Never available,Not available today,Yes (Observed),Yes (Observed),Not available today,No,,Yes (Observed),Health Center,Yes (Observed),At least one observed (not expired),Not available today,Not available today,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),8.626956,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,No,,50 or less,1001-2000,At least one observed (not expired),At least one observed (all expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (all expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13608,At least one observed (not expired),5,2,Yes (Observed),Not available today,Not available today,Not available today,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Hospital,Yes (Observed),Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),10.949598,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,At least one observed (not expired),Not available today,At least one observed (not expired),Not available today,No,,Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),At least one observed (not expired),At least one observed (not expired),Public,No,Urban,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,Not available today,At least one observed (not expired)
Kenya-2012,13614,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,No,,At least one observed (not expired),No,,No,Health Post,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,27.0,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),50 or less,1001-2000,At least one observed (not expired),Not available today,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13626,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,At least one observed (not expired),At least one observed (not expired),Not available today,Never available,Not available today,No,,Not available today,No,,Yes (Observed),Health Center,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,4.5,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),50 or less,501-1000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13628,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),Yes (Observed),Yes (Observed),No,Health Center,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,1.3333334,At least one observed (not expired),Never available,At least one observed (not expired),Not available today,Not available today,Never available,At least one observed (not expired),Not available today,No,,50 or less,1001-2000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13641,Not available today,5,12,Yes (Observed),Never available,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,Never available,At least one observed (not expired),Never available,Never available,Not available today,No,,At least one observed (not expired),No,,Yes (Observed),Health Center,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),No,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),4.0,At least one observed (not expired),Never available,Available but not observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,No,,Over 50,1001-2000,At least one observed (not expired),At least one observed (not expired),Available but not observed (not expired),No,Available but not observed (not expired),Available but not observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13660,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,No,,Not available today,Not available today,At least one observed (not expired),Never available,Not available today,Never available,Never available,No,,At least one observed (not expired),Yes (Observed),Yes (Observed),No,Health Center,No,At least one observed (not expired),Never available,At least one observed (not expired),No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,1.3333334,Never available,Not available today,Available but not observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,No,,50 or less,0-500,At least one observed (not expired),At least one observed (not expired),Available but not observed (not expired),No,Available but not observed (not expired),Available but not observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13666,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,No,,Never available,Not available today,Not available today,At least one observed (not expired),Not available today,Never available,Not available today,No,,Not available today,Yes (Observed),No,No,Health Post,No,At least one observed (not expired),Not available today,Not available today,Yes (Not Observed),Yes (Observed),1,,Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,2.0,At least one observed (not expired),Never available,Not available today,Never available,Not available today,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),50 or less,0-500,At least one observed (not expired),At least one observed (not expired),Not available today,No,Not available today,Not available today,Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),No,,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13667,At least one observed (not expired),5,2,Yes (Observed),At least one observed (not expired),Never available,Never available,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Hospital,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),Yes (Observed),1.9908361,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),Over 50,2001-3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13731,At least one observed (not expired),5,2,,Not available today,Never available,Never available,Never available,No,,Never available,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,Never available,Not available today,No,,Not available today,No,,No,Health Post,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,29.862541,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),50 or less,2001-3000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13766,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Available but not observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Hospital,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),Yes (Observed),3.0,Never available,At least one observed (not expired),Available but not observed (not expired),Never available,At least one observed (not expired),Never available,At least one observed (not expired),Not available today,No,,50 or less,Over 3000,At least one observed (not expired),At least one observed (not expired),Available but not observed (not expired),No,Available but not observed (not expired),Available but not observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,Yes,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13768,At least one observed (not expired),5,2,Yes (Observed),At least one observed (not expired),Not available today,Not available today,At least one observed (not expired),Yes (Observed),Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),At least one observed (not expired),No,,No,Health Center,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,4.313478,Not available today,Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),50 or less,501-1000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Not available today,At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13771,At least one observed (not expired),5,12,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,At least one observed (not expired),Never available,At least one observed (not expired),Never available,Never available,At least one observed (not expired),No,,Not available today,Yes (Observed),Yes (Observed),Yes (Observed),Health Center,Yes (Observed),Not available today,At least one observed (not expired),Not available today,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,4.0,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Not available today,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),Over 50,1001-2000,At least one observed (not expired),At least one observed (all expired),Not available today,No,At least one observed (not expired),Not available today,Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13791,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Not available today,Not available today,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Not available today,No,,At least one observed (not expired),No,,No,Health Center,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),No,1.3333334,At least one observed (not expired),Never available,At least one observed (not expired),At least one observed (not expired),Not available today,Not available today,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),50 or less,501-1000,At least one observed (not expired),Not available today,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13794,At least one observed (not expired),5,10,Yes (Observed),At least one observed (not expired),Never available,Never available,At least one observed (not expired),No,,At least one observed (not expired),Not available today,Not available today,At least one observed (not expired),Never available,Never available,Never available,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Health Post,No,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,No,Yes (Observed),Yes (Observed),Yes (Observed),2.0,At least one observed (not expired),Never available,At least one observed (not expired),,Never available,Never available,At least one observed (not expired),Never available,Yes (Observed),Yes (Observed),50 or less,0-500,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,Not available today,At least one observed (not expired)
Kenya-2012,13840,At least one observed (not expired),5,12,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Available but not observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,Never available,Not available today,No,,Not available today,No,,Yes (Observed),Health Center,Yes (Observed),Not available today,At least one observed (not expired),At least one observed (not expired),Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),4.0,Not available today,At least one observed (not expired),Available but not observed (not expired),Never available,Never available,Never available,At least one observed (not expired),Never available,No,,Over 50,Over 3000,At least one observed (not expired),At least one observed (not expired),Available but not observed (not expired),No,Available but not observed (not expired),Available but not observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),Available but not observed (not expired)
Kenya-2012,13841,At least one observed (not expired),5,2,Yes (Observed),Not available today,Never available,Never available,Never available,Yes (Observed),Yes (Observed),Never available,Not available today,Not available today,Not available today,Never available,Never available,At least one observed (not expired),No,,At least one observed (not expired),No,,Yes (Observed),Hospital,Yes (Observed),Never available,Not available today,Not available today,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,No,Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),No,10.949598,At least one observed (not expired),Not available today,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),Never available,At least one observed (not expired),Not available today,No,,Over 50,Over 3000,At least one observed (not expired),Not available today,At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Public,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),At least one observed (not expired)
Kenya-2012,13852,At least one observed (not expired),5,12,Yes (Observed),At least one observed (not expired),Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),Not available today,Not available today,At least one observed (not expired),At least one observed (not expired),Not available today,Not available today,Not available today,Yes (Observed),Yes (Observed),At least one observed (not expired),No,,Yes (Observed),Health Center,Yes (Observed),At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,Yes (Observed),1,Yes (Observed),Yes,Yes (Observed),Yes,Yes (Observed),Yes (Observed),1,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),1.6666666,At least one observed (not expired),Not available today,At least one observed (not expired),Not available today,At least one observed (not expired),Not available today,Not available today,Not available today,No,,50 or less,501-1000,At least one observed (not expired),At least one observed (not expired),At least one observed (not expired),No,At least one observed (not expired),At least one observed (not expired),Private,No,Rural,Yes (Observed),Yes (Observed),No,,Yes (Observed),Yes (Observed),Yes (Observed),Yes (Observed),Yes,No,At least one observed (not expired),Not available today
