fac_id,staff_id,m2saq1,m2saq2,m2saq3,m2saq6,m2saq8,m2saq9,m2saq10,m2saq11,m2saq12,m2saq13,m2saq14,m2saq15,m2saq16,m2saqobs,m2sbq1,m2sbq3,m2sbq5,m2sbq6,m2sbq7,m2sbq8,m2sbq9,m2sbq10,m2sbq11,m2sbq12,m2sbq13,m2sbq15,m2sbq17
235,14,11-50,11-50,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
235,15,11-50,11-50,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Non,Maladie/maternité,Non,non,,,,,,,,,,,,,,
235,16,11-50,11-50,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
235,17,11-50,11-50,5 or less,Nurse,Secondary,Diploma,Femme,35-44,Oui,Oui,,Oui,Oui,,3.0,17.0,Nurse,Secondary,Diploma,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
235,18,11-50,11-50,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
235,19,11-50,11-50,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,5.0,19.0,Nurse,Secondary,Diploma,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
235,20,11-50,11-50,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
235,21,11-50,11-50,5 or less,Other,Secondary,Advanced,Femme,25-34,Non,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
235,22,11-50,11-50,5 or less,Other,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,22.0,Other,Post-Secondary,Advanced,Femme,25-34,Oui,,Autre,Non,After 2000,Individu
235,23,11-50,11-50,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
235,24,11-50,11-50,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,7.0,24.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
235,25,11-50,11-50,5 or less,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
235,26,11-50,11-50,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
235,27,11-50,11-50,5 or less,Other,Secondary,Certificate,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
236,1,11-50,6-10,Over 5,Nurse,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,35-44,Non,Mission officielle,,,,Collègue
236,2,11-50,6-10,Over 5,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
236,3,11-50,6-10,Over 5,Nurse,Secondary,Certificate,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,3.0,3.0,Other,Secondary,Advanced,Femme,Younger than 25,Non,Absence non autorisée,,,,Responsable
236,4,11-50,6-10,Over 5,Nurse,Secondary,Diploma,Femme,Younger than 25,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,4.0,4.0,Nurse,Secondary,Diploma,Femme,25-34,Oui,,Discussion avec collègues/réunion/Staff,Oui,After 2000,Individu
236,5,11-50,6-10,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Maladie/maternité,Oui,non,,5.0,5.0,Nurse,Secondary,Advanced,Femme,25-34,Non,Absence autorisée (permission/congé),,,,Collègue
236,6,11-50,6-10,Over 5,Other,Secondary,Certificate,Homme,25-34,Oui,Non,Absence autorisée (permission/congé),Oui,non,,6.0,6.0,Other,Secondary,Advanced,Homme,25-34,Non,Absence autorisée (permission/congé),,,,Collègue
236,7,11-50,6-10,Over 5,Other,Secondary,Certificate,Femme,Younger than 25,Oui,Oui,,Oui,Oui,,7.0,7.0,Other,Secondary,Certificate,Homme,Younger than 25,Non,Absence non autorisée,,,,Collègue
237,1,11-50,6-10,Over 5,Nurse,Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Nurse,Secondary,Advanced,Homme,35-44,Non,Mission officielle,,,,Collègue
237,2,11-50,6-10,Over 5,Nurse,Primary,Diploma,Homme,45 or older,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Primary,Diploma,Homme,45 or older,Oui,,Consultation/visite de malade,Non,In the 1990s,Individu
237,3,11-50,6-10,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,3.0,3.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
237,4,11-50,6-10,Over 5,Nurse,Secondary,Diploma,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Oui,non,,4.0,4.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
237,5,11-50,6-10,Over 5,Other,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,5.0,5.0,Other,Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non applicable,After 2000,Individu
237,6,11-50,6-10,Over 5,Doctor,Primary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,6.0,6.0,Doctor,Primary,Diploma,Femme,25-34,Non,Absence non autorisée,,,,Collègue
238,1,11-50,5 or less,Over 5,Other,Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Other,Secondary,Advanced,Homme,35-44,Oui,,Traitement de dossiers/élaboration de rapports,Oui,After 2000,Individu
238,2,11-50,5 or less,Over 5,Nurse,Primary,Diploma,Homme,25-34,Oui,Oui,,Oui,Oui,,2.0,2.0,Nurse,Primary,Diploma,Homme,25-34,Non,Absence autorisée (permission/congé),,,,Responsable
238,3,11-50,5 or less,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,Maladie/maternité,Oui,non,,3.0,3.0,Other,Secondary,Advanced,Femme,25-34,Non,Maladie/maternité,,,,Responsable
239,1,6-10,5 or less,5 or less,Nurse,Primary,Diploma,Homme,45 or older,Oui,Non,Formation/séminaire/réunion,Oui,non,,1.0,1.0,Nurse,Primary,Diploma,Homme,45 or older,Oui,,Consultation/visite de malade,Non,In the 1990s,Individu
239,2,6-10,5 or less,5 or less,Nurse,Secondary,Diploma,Femme,35-44,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,2.0,2.0,Nurse,Secondary,Diploma,Femme,35-44,Oui,,Recherche des informations/ formation,Non,After 2000,Individu
239,3,6-10,5 or less,5 or less,Nurse,Secondary,Diploma,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,3.0,3.0,Nurse,Secondary,Diploma,Femme,25-34,Non,En grève,,,,Responsable
239,4,6-10,5 or less,5 or less,Other,Secondary,Certificate,Homme,25-34,Oui,Oui,,Oui,Oui,,4.0,4.0,Other,Secondary,Certificate,Homme,25-34,Oui,,Discussion avec collègues/réunion/Staff,Non applicable,After 2000,Individu
239,5,6-10,5 or less,5 or less,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Formation/séminaire/réunion,Oui,non,,5.0,5.0,Nurse,Secondary,Advanced,Femme,25-34,Non,En grève,,,,Collègue
240,1,11-50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,Oui,,Oui,Oui,,1.0,1.0,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,,Consultation/visite de malade,Non,After 2000,Individu
240,2,11-50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Femme,35-44,Oui,Non,Formation/séminaire/réunion,Oui,non,,9.0,2.0,Doctor,Post-Secondary,Advanced,Femme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
240,3,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,3.0,3.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
240,4,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,11.0,4.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue
240,5,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
240,6,11-50,11-50,Over 5,Other,Post-Secondary,Advanced,Femme,45 or older,Non,Oui,,Non,non,,,,,,,,,,,,,,
240,7,11-50,11-50,Over 5,Other,Post-Secondary,Advanced,Femme,25-34,Non,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
240,8,11-50,11-50,Over 5,Other,Post-Secondary,Advanced,Femme,45 or older,Non,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
240,9,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
240,10,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,Oui,,Oui,Oui,,7.0,10.0,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
240,11,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
240,12,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,,Oui,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
240,13,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,45 or older,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
240,14,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,45 or older,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
240,15,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
240,16,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Homme,45 or older,Oui,Non,Mission officielle,Non,non,,,,,,,,,,,,,,
240,17,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,35-44,Oui,Non,Mission officielle,Non,non,,,,,,,,,,,,,,
240,18,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,Non,Absence autorisée (permission/congé),Oui,non,,6.0,18.0,Nurse,Post-Secondary,Advanced,Femme,35-44,Non,Absence autorisée (permission/congé),,,,Responsable
240,19,11-50,11-50,Over 5,Other,Post-Secondary,Advanced,Femme,35-44,Non,Oui,,Non,non,,,,,,,,,,,,,,
240,20,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,8.0,20.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
240,21,11-50,11-50,Over 5,Other,Post-Secondary,Advanced,Homme,25-34,Non,Oui,,Oui,non,,2.0,21.0,Other,Post-Secondary,Advanced,Homme,25-34,Non,Absence autorisée (permission/congé),,,,Responsable
240,22,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,Oui,,Oui,Oui,,4.0,22.0,Nurse,Post-Secondary,Advanced,Femme,35-44,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
240,23,11-50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Femme,35-44,Oui,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
240,24,11-50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
240,25,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
240,26,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,35-44,Oui,Oui,,Oui,Oui,,5.0,26.0,Nurse,Post-Secondary,Certificate,Femme,35-44,Non,Maladie/maternité,,,,Collègue
240,27,11-50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,10.0,27.0,Nurse,Secondary,Diploma,Femme,25-34,Non,Maladie/maternité,,,,Collègue
241,1,Over 50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Homme,45 or older,Oui,Oui,,Oui,non,,1.0,1.0,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,,Discussion avec collègues/réunion/Staff,Non,After 2000,Individu
241,2,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
241,3,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,4,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,5,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,35-44,Oui,Non,Mission officielle,Non,non,,,,,,,,,,,,,,
241,6,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,Younger than 25,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
241,7,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
241,8,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
241,9,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
241,10,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
241,11,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,Mission officielle,Non,non,,,,,,,,,,,,,,
241,12,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,13,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
241,14,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,15,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,16,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,17,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,18,Over 50,11-50,Over 5,Other,Post-Secondary,Advanced,Homme,45 or older,Oui,Oui,,Oui,Oui,,11.0,18.0,Other,Post-Secondary,Advanced,Homme,45 or older,Non,Formation/séminaire/réunion,,,,Collègue
241,19,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Non,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,20,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Non,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,21,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Non,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,10.0,21.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue
241,22,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Non,Oui,,Oui,non,,2.0,22.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue
241,23,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Non,Oui,,Non,non,,,,,,,,,,,,,,
241,24,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Non,Non,Maladie/maternité,Non,non,,,,,,,,,,,,,,
241,25,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,35-44,Non,Non,Absence non autorisée,Non,non,,,,,,,,,,,,,,
241,26,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Non,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,6.0,26.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue
241,27,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Non,Non,Maladie/maternité,Non,non,,,,,,,,,,,,,,
241,28,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,35-44,Non,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,5.0,28.0,Other,Secondary,Advanced,Femme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
241,29,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Homme,45 or older,Oui,Non,Mission officielle,Non,non,,,,,,,,,,,,,,
241,30,Over 50,11-50,Over 5,Other,Primary,Diploma,Femme,45 or older,Non,Oui,,Non,non,,,,,,,,,,,,,,
241,31,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
241,32,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,Maladie/maternité,Non,non,,,,,,,,,,,,,,
241,33,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Non,Oui,,Oui,non,,4.0,33.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
241,34,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,35,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
241,36,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,37,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,38,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,3.0,38.0,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
241,39,Over 50,11-50,Over 5,Other,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,40,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Mission officielle,Non,non,,,,,,,,,,,,,,
241,41,Over 50,11-50,Over 5,Other,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,non,,,,,,,,,,,,,,
241,42,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,43,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
241,44,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,45,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,46,Over 50,11-50,Over 5,Nurse,Secondary,Diploma,Femme,35-44,Non,Oui,,Oui,non,,7.0,46.0,Nurse,Secondary,Diploma,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
241,47,Over 50,11-50,Over 5,Other,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,48,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Non,non,,,,,,,,,,,,,,
241,49,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Non,"Repos de garde (pré-garde, sortie de garde)",Oui,non,,8.0,49.0,Other,Secondary,Advanced,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue
241,50,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Homme,25-34,Oui,Oui,,Oui,Oui,,9.0,50.0,Other,Post-Secondary,Advanced,Homme,25-34,Oui,,Consultation/visite de malade,Non,After 2000,Individu
242,1,Over 50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,Oui,,Oui,Oui,,1.0,1.0,Doctor,Post-Secondary,Advanced,Homme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
242,2,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,3,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Non,Mission officielle,Oui,non,,4.0,3.0,Nurse,Secondary,Advanced,Femme,45 or older,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Collègue
242,4,Over 50,11-50,Over 5,Nurse,Primary,Diploma,Femme,25-34,Oui,Oui,,Oui,Oui,,8.0,4.0,Nurse,Primary,Diploma,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
242,5,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Non,non,,,,,,,,,,,,,,
242,6,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,7,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,Younger than 25,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,8,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,9,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,35-44,Oui,Oui,,Oui,Oui,,5.0,9.0,Other,Secondary,Advanced,Femme,35-44,Oui,,Consultation/visite de malade,Non,After 2000,Individu
242,10,Over 50,11-50,Over 5,Nurse,Primary,Diploma,Femme,45 or older,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,11,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,45 or older,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,12,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,13,Over 50,11-50,Over 5,Nurse,Post-Secondary,Advanced,Homme,Younger than 25,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,14,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,15,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
242,16,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
242,17,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,18,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Non,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
242,19,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Non,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
242,20,Over 50,11-50,Over 5,Nurse,Primary,Diploma,Femme,25-34,Oui,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
242,21,Over 50,11-50,Over 5,Nurse,Primary,Diploma,Femme,25-34,Non,Oui,,Oui,non,,9.0,21.0,Nurse,Primary,Diploma,Femme,25-34,Non,Absence autorisée (permission/congé),,,,Responsable
242,22,Over 50,11-50,Over 5,Nurse,Primary,Diploma,Femme,35-44,Non,Non,Absence autorisée (permission/congé),Non,non,,,,,,,,,,,,,,
242,23,Over 50,11-50,Over 5,Doctor,Post-Secondary,Advanced,Femme,35-44,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,24,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,6.0,24.0,Nurse,Secondary,Advanced,Femme,25-34,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
242,25,Over 50,11-50,Over 5,Other,Secondary,Advanced,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,26,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Oui,Oui,,Oui,Oui,,2.0,26.0,Nurse,Secondary,Advanced,Femme,25-34,Non,"Repos de garde (pré-garde, sortie de garde)",,,,Responsable
242,27,Over 50,11-50,Over 5,Nurse,Primary,Diploma,Femme,35-44,Oui,Non,Absence autorisée (permission/congé),Oui,non,,3.0,27.0,Nurse,Primary,Diploma,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
242,28,Over 50,11-50,Over 5,Nurse,Secondary,Advanced,Femme,25-34,Non,Oui,,Non,non,,,,,,,,,,,,,,
242,29,Over 50,11-50,Over 5,Nurse,Primary,Diploma,Femme,25-34,Oui,Oui,,Non,Oui,,,,,,,,,,,,,,
242,30,Over 50,11-50,Over 5,Nurse,Primary,Diploma,Femme,35-44,Non,Oui,,Oui,non,,11.0,30.0,Nurse,Primary,Diploma,Femme,35-44,Oui,,Consultation/visite de malade,Oui,After 2000,Individu
242,31,Over 50,11-50,Over 5,Nurse,Primary,Diploma,Femme,35-44,Oui,Oui,,Oui,Oui,,7.0,31.0,Nurse,Primary,Diploma,Femme,35-44,Non,Absence autorisée (permission/congé),,,,Responsable
