fac_id,h1csqa1,h1csqa2a,h1csqa2b,h1csqa2c,h1csqb1,h1csqb2,h1csqb4,h1csqb5,h1csqb9,h1csqb12,h1csqb13H,h1csqb13M,h1csqb14H,h1csqb14M,h1csqb16,h1csqb17,h1sa5,h1sa9,h1sa17,h1sa18,h1sa19,h1sa20,h1sa21,h1sa22,h1sa26,h1sa31,h1sb50,h1sb51,h1sb52,h1sb53,h1sb54,h1sb59a,h1sc59b,h1sc60a,h1sc60b,h1sc61a,h1sc61b,h1sc62a,h1sc62b,h1sc63a,h1sc63b,h1sc64a,h1sc64b,h1sc65a,h1sc65b,h1sc66a,h1sc66b,h1sc67a,h1sc67b,h1sc68a,h1sc68b,h1sc69a,h1sc69b,h1sc70a,h1sc70b,h1sc71a,h1sc71b,h1sc72a,h1sc72b,h1sc73a,h1sc73b,h1sc74a,h1sc74b,h1sc75a,h1sc75b,h1sd76,h1sd77,h1sd78,h1sd79,h1sd80,h1sd81,h1sd82,h1sd83,h1sd84,h1sd85,h1sd86,h1sd87,h1sd88,h1sd89,h1sd90,h1sd91,h1sd92,h1sd93,h1sd94,h1sd95,h1sd96,h1sd97,h1sd98,h1sd99,h1sd100,h1sd101,h1sd102,h1sd103,h1sd104,h1sd105,h1sd106,h1sd107,h1sd108,h1sd109,h1sd110,h1sd111,h1sd112,h1sd113,h1sd114,h1sd115,h1sd116,h1sd117,h1sd118,h1sd119,h1sd120,h1sd121,h1sd122,h1sd123,h1sd124,h2sa200,h2sa201,h1csqb6
316,Yes,,,,3,102,1,2,Urban,100,9.0,30.0,11.0,0.0,100.0,,Private,Hospital,No,No,Yes,No,No,No,Over 50,501-1000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),No,,,,,Never available,Never available,Never available,Never available,Never available,"Yes,observed",No,No,No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,5 or less,5 or less,231.0
317,Yes,,,,3,102,1,2,Rural,801,14.0,0.0,18.0,0.0,,,Private,Hospital,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,No,No,Yes,Yes,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,,,251.0
318,Yes,,,,3,102,1,2,Urban,100,12.0,40.0,14.0,45.0,100.0,,Private,Hospital,No,No,Yes,No,No,No,Over 50,0-500,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,No,,Yes (observed),Yes (observed),No,,Not available today,Not available today,Never available,At least one observed (BUT expired),Not available today,At least one observed (AND non-expired),Never available,Never available,Not available today,Not available today,Not recommended at this level,Never available,Not recommended at this level,Not available today,Not available today,Not available today,Not available today,Not available today,At least one observed (AND non-expired),Not available today,Not available today,Not available today,Not available today,Never available,At least one observed (AND non-expired),Not available today,Not available today,Never available,No,,,,,Never available,Never available,Never available,Never available,Never available,"Yes,observed",No,"Yes,observed",No,"Yes,observed","Yes,observed",No,No,No,No,No,5 or less,5 or less,346.0
319,Yes,,,,3,102,1,2,Urban,100,9.0,20.0,12.0,20.0,100.0,,Private,Health Center,No,No,Yes,No,No,No,Over 50,501-1000,No,Yes,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),No,No,,Yes (not observed),Yes (not observed),Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,Not available today,Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (BUT expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),No,,,,,Never available,Never available,Never available,Never available,Never available,"Yes,observed",No,"Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,6-10,5 or less,346.0
320,Yes,,,,3,102,1,3,Urban,100,14.0,50.0,16.0,12.0,100.0,,Private,Health Post,No,No,No,No,No,No,Over 50,0-500,No,Yes,No,No,No,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,Yes (observed),Yes (observed),No,,Not available today,At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,No,,,,,Never available,Never available,Never available,Never available,Never available,"Yes,observed",No,No,No,"Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,63.0
321,Yes,,,,3,102,1,3,Urban,801,9.0,0.0,11.0,30.0,801.0,,Private,Health Post,No,No,Yes,No,No,No,Over 50,0-500,No,No,No,No,No,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Not available today,Not available today,At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,No,,,,,Never available,Never available,Never available,Never available,Never available,No,No,"Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,114.0
322,Yes,,,,3,102,1,3,Urban,803,15.0,37.0,17.0,55.0,801.0,,Private,Health Post,No,Yes,No,No,No,No,50 or less,0-500,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Not available today,No,,,,,Not available today,Not available today,Not available today,Not available today,Not available today,No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,5 or less,5 or less,114.0
323,Yes,,,,3,102,1,3,Urban,803,11.0,55.0,13.0,5.0,801.0,,Private,Health Post,No,No,No,No,No,No,Over 50,0-500,Yes,No,No,No,No,No,,Yes (observed),Yes (observed),No,,Yes (observed),No,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,No,,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Never available,Never available,Never available,Never available,Never available,At least one observed (AND non-expired),Never available,Never available,Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Never available,Never available,Never available,No,,,,,Never available,Never available,Never available,Never available,Never available,No,No,"Yes,observed",No,No,"Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,114.0
324,Yes,,,,3,102,1,3,Urban,100,14.0,25.0,15.0,25.0,120.0,,Private,Health Post,No,No,No,No,No,No,Over 50,1001-2000,No,No,No,No,No,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,No,,,,,Never available,Never available,Never available,Never available,Never available,"Yes,observed",No,"Yes,observed",No,No,"Yes,observed","Yes,observed",No,No,"Yes,observed",,5 or less,5 or less,147.0
325,Yes,,,,3,102,1,3,Urban,100,10.0,2.0,12.0,30.0,100.0,,Public,Health Center,No,No,No,No,No,No,Over 50,1001-2000,Yes,Yes,No,Yes,Yes,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Not recommended at this level,Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Not available today,Not available today,Not available today,Not available today,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,11-50,5 or less,159.0
326,Yes,,,,3,102,1,3,Rural,120,16.0,10.0,18.0,48.0,100.0,,Private,Health Post,Yes,No,No,No,No,No,50 or less,0-500,No,Yes,No,Yes,Yes,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),No,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,219.0
327,Yes,,,,3,102,1,3,Urban,803,11.0,30.0,13.0,20.0,802.0,,Private,Health Center,Yes,No,Yes,No,Yes,No,50 or less,501-1000,No,No,No,Yes,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,No,,No,,Yes (observed),Yes (observed),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Never available,Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,Yes,Yes,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,6-10,5 or less,237.0
328,Yes,,,,3,102,1,3,Urban,803,15.0,20.0,18.0,30.0,801.0,,Public,Health Center,Yes,No,Yes,No,Yes,No,Over 50,1001-2000,Yes,Yes,No,Yes,Yes,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),No,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),Never available,Never available,Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,11-50,Over 5,253.0
329,Yes,,,,3,102,1,3,Rural,802,12.0,35.0,13.0,24.0,801.0,,Private,Health Post,No,No,Yes,No,No,No,Over 50,0-500,No,Yes,No,No,No,No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),No,No,,No,,No,,Yes (observed),Yes (observed),No,,No,,No,,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Never available,Not available today,Never available,Never available,Never available,Not available today,Never available,Never available,Never available,Never available,Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,Never available,Never available,Never available,Not available today,No,,,,,Never available,Never available,Never available,Never available,Never available,"Yes,observed",No,No,No,"Yes,observed","Yes,observed",No,No,No,"Yes,observed",No,5 or less,5 or less,259.0
330,Yes,,,,3,102,1,3,Urban,802,13.0,20.0,15.0,35.0,801.0,,Private,Health Post,No,No,Yes,No,No,No,Over 50,1001-2000,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,No,,No,,No,,At least one observed (AND non-expired),Not available today,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),Never available,Never available,Never available,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,Not available today,At least one observed (AND non-expired),Not available today,Never available,Not available today,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,No,,,,,Not available today,Not available today,Not available today,Not available today,Not available today,No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed",No,5 or less,5 or less,259.0
331,Yes,,,,3,102,1,3,Urban,801,12.0,0.0,12.0,50.0,803.0,,Private,Health Post,No,No,Yes,No,No,No,Over 50,0-500,No,No,No,No,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),No,Yes (observed),Yes (observed),No,,Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Not available today,Never available,Never available,Never available,Not available today,Never available,Never available,At least one observed (AND non-expired),Not available today,Never available,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),Not available today,No,,,,,Never available,Never available,Never available,Never available,Never available,"Yes,observed",No,"Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,5 or less,5 or less,260.0
332,Yes,,,,3,102,1,3,Urban,100,12.0,40.0,16.0,0.0,100.0,,Private,Health Post,No,No,No,No,No,No,50 or less,1001-2000,No,Yes,No,No,No,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (not observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (not observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,Not available today,Never available,Never available,Not available today,Not available today,Not available today,Never available,Never available,Not available today,Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),Not available today,Not available today,Not available today,At least one observed (AND non-expired),Yes,Yes and observed,Yes,Yes,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",5 or less,5 or less,268.0
333,Yes,,,,3,102,1,3,Urban,100,9.0,20.0,12.0,20.0,100.0,,Private,Health Post,No,No,No,No,No,No,Over 50,0-500,No,No,No,Yes,Yes,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,No,,No,,Yes (observed),Yes (observed),No,,No,,Yes (observed),Yes (observed),No,,Not available today,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),Never available,Not recommended at this level,Not available today,Not recommended at this level,At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Not available today,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,No,No,Yes,Yes,Not available today,Not available today,Not available today,Not available today,Not available today,"Yes,observed","Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed",No,5 or less,5 or less,268.0
334,Yes,,,,3,102,1,3,Rural,100,14.0,50.0,17.0,51.0,100.0,,Private,Health Post,Yes,Yes,Yes,Yes,Yes,Yes,Over 50,501-1000,Yes,Yes,No,Yes,Yes,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,No,,,,,Never available,Never available,Never available,Never available,Never available,"Yes,observed",No,"Yes,observed",No,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,5 or less,5 or less,268.0
335,Yes,,,,3,102,1,3,Urban,100,13.0,45.0,15.0,15.0,100.0,,Private,Health Center,No,No,Yes,No,No,No,50 or less,Over 3000,Yes,No,No,Yes,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),Yes (observed),No,,No,,No,,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,Never available,Never available,At least one observed (AND non-expired),Not recommended at this level,Not recommended at this level,At least one observed (AND non-expired),Not recommended at this level,At least one observed (AND non-expired),Never available,Not recommended at this level,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),No,,,,,Not available today,Not available today,Not available today,Not available today,Not available today,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,No,No,11-50,5 or less,273.0
336,Yes,,,,3,102,1,3,Rural,100,15.0,35.0,17.0,10.0,120.0,,Private,Health Post,No,No,Yes,No,No,No,Over 50,1001-2000,No,No,No,Yes,No,Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),Yes (observed),No,,Yes (observed),No,Yes (observed),No,No,,Yes (observed),Yes (observed),No,,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,Not available today,Never available,At least one observed (AND non-expired),At least one observed (AND non-expired),Not available today,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Yes,Yes and observed,Yes,No,Yes,At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),At least one observed (AND non-expired),Never available,"Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed","Yes,observed",No,No,"Yes,observed",No,6-10,5 or less,283.0
